English,Hello World
Spanish,Hola Mundo
Malay,Hai dunia
Chinese,你好，世界
Japanese,こんにちは世界
Korean,헬로월드
French,Bonjour le monde
German,Hallo Welt
Italian,Ciao mondo
Dutch,Hallo Wereld
Swedish,Hej världen
Finnish,Hei maailma
Norwegian,Hei Verden
Danish,Hej Verden
Hindi,नमस्ते दुनिया
Tamil,வணக்கம் உலகம்
Vietnamese,Chào thế giới
Russian,"Привет, мир"
Thai,สวัสดีชาวโลก
Icelandic,Halló heimur
Greek,Γειά σου Κόσμε
Filipino,Kamusta Mundo
Mongolian,Сайн уу Дэлхий
Latin,salve mundo
Polish,Witaj świecie
Portuguese,Olá Mundo
Arabic,مرحبا بالعالم
Telugu,హలో వరల్డ్
Irish,Dia duit an Domhan
Romanian,Salut Lume
Hungarian,Helló Világ
Croatian,Pozdrav svijete
Czech,Ahoj světe
Hawaiian,Aloha Honua
Turkish,Selam Dünya
Welsh,Helo Byd
Bosnian,Zdravo svijete
Luxembourgish,Moien Welt
Malayalam,ഹലോ വേൾഡ്
Punjabi,ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ ਦੁਨਿਆ
